regulator,target,sign,K,half_response,hill_coefficient,source,mode,pmids
Aatf,Tpt1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17157788
Aatf,Trp53,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17157788;20708154
Aes,Ihh,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15183720
Ahr,Cyp19a1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16260617
Ahr,Cyp1a1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,1317062;15313166;19474220;11248424;19470599;24639079
Ahr,Gata4,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,22684894
Ahr,Gsta1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19474220
Ahr,Il17a,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,21266768;21266776
Ahr,Il6,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,19703987;21930594
Ahr,Nkx2-5,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,22684894
Ahr,Nqo1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19474220;23800876
Ahr,Pla2g4a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19716514
Ahr,Ptgs2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15213229
Ahr,Snai2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16952353
Ahr,Ugt1a6a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19474220
Ahr,Vav3,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21115475
Aire,F11,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,22203960
Alx4,Fgf10,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,25673119
Ankrd1,Myl2,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,9043061
Ankrd1,Nppa,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,18273862
Apbb1,Lrp1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,17920016
Apc,Myc,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,10229202;16510874
Apc,Spp1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17565744
Apc,Tcf4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10489374
Apc,Trp53,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,18533991
Apex1,Blk,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14594818
Apex1,Ccl12,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17045925
Apex1,Nfkb1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17045925;20498636;19268524
Apex1,Pax5,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14594818
Apex1,Ptgs2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20498636
Apex1,Rela,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17045925
Apex1,Tlr4,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,14706822
Ar,Ccr2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19907077
Ar,Cga,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,11518798
Ar,Nkx3-1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16697957;23786676
Ar,Nr0b1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,12081648
Ar,Runx2,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,19389811
Ar,Scnn1a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16172422
Ar,Sox2,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,23326489
Ar,Tnf,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19907077
Ar,rsl,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9727045
Arid3a,Igh,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19214191;21955986
Arid3b,Igh,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21955986
Arl6ip5,Parp1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,17462538
