regulator,target,sign,K,half_response,hill_coefficient,source,mode,pmids
Sp1,Abcc1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9865734
Sp1,Acaca,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,8576128
Sp3,Acaca,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,8576128
Srebf1,Acaca,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23137031
Sp1,Acsbg1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16125341
Sp3,Acsbg1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16125341
Sp1,Acss1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14960588
Sp1,Acta2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12110667
Sp3,Acta2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12110667
Smad3,Acta2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17303001;21990365;15306544
Tcf3,Acta2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12663487
Sp1,Adcyap1r1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,24045949
Nfkb1,Adipoq,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19013780
Foxo1,Adipoq,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17090532
Tcf3,Adipoq,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18669923
Srebf1,Adipoq,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18669923
Nfkb1,Adora1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17350174;17869311
Gata4,Adora1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10318839
Nfkb1,Adora2a,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,17869311
Trp53,Afp,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,15657445
Smad4,Afp,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20348100
Trp53,Agt,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23019230
Trp53,Agtr1a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23019230
Sp1,Ahr,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20478378;9778040;8806768
Sp3,Ahr,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9778040
Rela,Akt1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14580677
Stat3,Akt1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16007214
Foxo1,Akt1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19944124
Esr2,Akt1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19211725
Runx2,Alpl,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23287548
Foxo1,Alpl,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11786925
Msx2,Alpl,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,15383550
Trp53,Amelx,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9189625
Yy1,Amelx,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16674681
Cebpa,Amelx,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16595692
Jun,Angpt2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17287278
Ets1,Angpt2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17287278;18720385
Ppara,Angptl4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15190076
Pparg,Angptl4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15190076;19934321;14570927
Nfkb1,Ankrd2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20442316
Srebf1,Ankrd2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23824195
Myod1,Ankrd2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23824195
Trp53,Apaf1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11389439;11591730;12883670;11896574;18951482
Sp1,App,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14715929
Sp1,Arntl,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,24030830
Sp1,Ascl2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23071113
Trp53,Atf3,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18445702;21927023
Sox2,Atoh1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,22340499
Msx2,Atoh1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,24715462
Nfkb1,Atp12a,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,12372765
Rela,Atp12a,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,12372765
